arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v5_detector_ensemble,beat_v5_detector_ensemble,4,0.5766917592345285,0.007899244804458028,0.5463329052337329,-0.022459609196337604,-2.843260305550003,0.6638690485919292,0.5654923242116052,0.508014067277988,0.7688403388463292
beat_v5_detector_ensemble,beat_v5_detector_ensemble,8,0.5947121785275136,0.025919664097443063,0.525299960434588,-0.043492553995482464,-1.6779752172703866,0.5733300977854472,0.556869449133238,0.46216098303728825,0.779612996299458
beat_v5_detector_ensemble,beat_v5_detector_ensemble,16,0.6317976194498627,0.06300510501979217,0.5118855378722382,-0.05690697655783228,-0.903212153046261,0.41341872841853883,0.5371169828366865,0.46142264794334176,0.7702047331054088
beat_v2_v5_mean,beat_v2_v5_mean,1,0.6712821935006674,0.0,0.6712821935006674,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v2_v5_mean,beat_v2_v5_mean,2,0.7165670681214953,0.045284874620827864,0.6269803291557472,-0.04430186434492023,-0.9782927459965735,0.7065101383929735,0.5474505199185209,0.5239070180039378,0.7939750970222832
beat_v2_v5_mean,beat_v2_v5_mean,4,0.7178729053519355,0.04659071185126806,0.5983437728836086,-0.0729384206170588,-1.5655141919681492,0.6612417768110526,0.5354457689561647,0.5098117499533914,0.7656760075355605
beat_v2_v5_mean,beat_v2_v5_mean,8,0.7280503034070802,0.05676810990641279,0.5382484418294116,-0.13303375167125586,-2.3434592395373683,0.5952458945792591,0.481250989079564,0.48082129528589657,0.75601867207964
beat_v2_v5_mean,beat_v2_v5_mean,16,0.7636093227150679,0.09232712921440045,0.3964848951870572,-0.2747972983136102,-2.9763440134208086,0.3370283254184183,0.45594146495569615,0.4447785692421406,0.7524502600000614
beat_v2_coverage_raw,beat_v2_coverage_raw,1,0.7885884726349754,0.0,0.7885884726349754,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v2_coverage_raw,beat_v2_coverage_raw,2,0.827216650564014,0.03862817792903861,0.7502426177076282,-0.03834585492734721,-0.9926912679596217,0.7065101383929735,0.5474505199185209,0.5239070180039378,0.7939750970222832
